Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status,pca_component_1,pca_component_2
LP001197,Male,Yes,0,Graduate,No,Rural,N,-2073.829641785276,430.7571035427395
LP001198,Male,Yes,1,Graduate,No,Urban,Y,2624.5795377221166,819.6384688867056
LP001199,Male,Yes,2,Not Graduate,No,Urban,Y,-2130.1204655022325,1087.4579776575638
LP001205,Male,Yes,0,Graduate,No,Urban,Y,-3052.432331532084,1960.2470887498084
LP001206,Male,Yes,3+,Graduate,No,Urban,Y,-2252.039061334608,-1787.9835980895862
LP001207,Male,Yes,0,Not Graduate,Yes,Rural,N,-2918.340060197921,1622.6132005143754
LP001213,Male,Yes,1,Graduate,No,Rural,N,-340.83287818688314,-1650.1067081092424
LP001222,Female,No,0,Graduate,No,Semiurban,N,-1117.885425161673,-1706.165846419682
LP001225,Male,Yes,0,Graduate,No,Semiurban,N,108.7282572579361,2990.015630865185
LP001228,Male,No,0,Not Graduate,No,Urban,N,-2243.2626911905577,472.8854954873223
LP001233,Male,Yes,1,Graduate,No,Urban,Y,5450.377671382969,-1231.6044716889933
LP001238,Male,Yes,3+,Not Graduate,Yes,Urban,Y,1808.6429583921768,-1494.8711281757014
LP001241,Female,No,0,Graduate,No,Semiurban,N,-984.0833633201528,-1696.3791941941265
LP001243,Male,Yes,0,Graduate,No,Urban,Y,-2293.400109297448,1283.4363512398445
LP001245,Male,Yes,2,Not Graduate,Yes,Semiurban,Y,-3537.849076971605,-0.8094806841866102
LP001248,Male,No,0,Graduate,No,Semiurban,Y,-1782.3815592043838,-1754.2022246335523
LP001250,Male,Yes,3+,Not Graduate,No,Semiurban,N,-530.5876891332746,-1664.020472613894
LP001253,Male,Yes,3+,Graduate,Yes,Semiurban,Y,-147.77574460460346,142.78359065314498
LP001255,Male,No,0,Graduate,No,Urban,N,-1532.8753267664106,-1736.2532443510927
LP001256,Male,No,0,Graduate,No,Urban,N,-1873.870605193412,3001.9983359532607
LP001259,Male,Yes,1,Graduate,Yes,Urban,N,-4492.930431608059,1080.4332063111833
LP001263,Male,Yes,3+,Graduate,No,Semiurban,N,-2401.359789201233,2212.199712512911
LP001264,Male,Yes,3+,Not Graduate,Yes,Semiurban,Y,-2104.3368116563643,394.43533993220944
LP001265,Female,No,0,Graduate,No,Semiurban,Y,-1437.085985051122,-1729.194554847778
LP001266,Male,Yes,1,Graduate,Yes,Semiurban,Y,-2884.1578723589632,-1833.2976959060184
LP001267,Female,Yes,2,Graduate,No,Urban,N,-4033.444620449858,-29.968957124408465
LP001273,Male,Yes,0,Graduate,No,Semiurban,N,550.6737636172302,670.8927114858197
LP001275,Male,Yes,1,Graduate,No,Urban,Y,-1295.8678946123257,-1719.303672404249
LP001279,Male,No,0,Graduate,No,Semiurban,Y,-3095.003780406603,689.0592643477034
LP001280,Male,Yes,2,Not Graduate,No,Semiurban,Y,-2092.638027698971,228.6215446478518
LP001282,Male,Yes,0,Graduate,No,Semiurban,Y,-2931.9037075610954,286.51037960259646
LP001289,Male,No,0,Graduate,No,Urban,Y,3271.315201237797,-1389.3189069869993
LP001310,Male,Yes,0,Graduate,No,Semiurban,Y,107.94905769925936,2560.2440966011272
LP001316,Male,Yes,0,Graduate,No,Semiurban,Y,-2531.123326352696,1099.5825824100666
LP001318,Male,Yes,2,Graduate,No,Semiurban,Y,554.7617979249035,4083.5947732603054
LP001319,Male,Yes,2,Not Graduate,No,Urban,Y,-2139.676224857417,44.63810631856586
LP001322,Male,No,0,Graduate,No,Semiurban,Y,-1150.7531957344709,-1708.4885087063303
LP001325,Male,No,0,Not Graduate,No,Semiurban,Y,-1663.039714350707,-1745.7627260716677
LP001326,Male,No,0,Graduate,Unknown,Urban,N,1491.35849809502,-1518.1373555398702
LP001327,Female,Yes,0,Graduate,No,Semiurban,Y,-2960.83955523857,469.1436488974496
LP001333,Male,Yes,0,Graduate,No,Semiurban,Y,-3373.345615322672,-869.5604142757602
LP001334,Male,Yes,0,Not Graduate,No,Semiurban,Y,-1095.8667777140763,-1704.326228231499
LP001343,Male,Yes,0,Graduate,No,Semiurban,Y,-3773.073690144368,1652.7693698683647
LP001345,Male,Yes,2,Not Graduate,No,Urban,Y,-1230.6059206319874,1557.462434152194
LP001349,Male,No,0,Graduate,No,Semiurban,Y,-716.0476192382239,2138.789334477724
LP001350,Male,Yes,Unknown,Graduate,No,Urban,Y,8341.380479466789,-1024.7429589967417
LP001356,Male,Yes,0,Graduate,No,Semiurban,Y,-890.6893421864334,1902.4674048343263
LP001357,Male,Unknown,Unknown,Graduate,No,Urban,Y,-1520.8468363407885,-978.9306412748272
LP001367,Male,Yes,1,Graduate,No,Urban,Y,-2303.1502743632777,-759.0188397494157
LP001369,Male,Yes,2,Graduate,No,Urban,Y,6034.005699853896,-61.33088495887887
LP001370,Male,No,0,Not Graduate,Unknown,Rural,N,2040.8550423067768,-1478.6177921799504
LP001379,Male,Yes,2,Graduate,No,Urban,N,-1741.008992292246,1858.9202114422567
LP001384,Male,Yes,3+,Not Graduate,No,Semiurban,Y,-3261.839285080361,-1104.997331110693
LP001385,Male,No,0,Graduate,No,Urban,Y,29.257103423861736,-1623.3901560630054
LP001387,Female,Yes,0,Graduate,Unknown,Semiurban,Y,-2519.2180763085707,532.0471584730153
LP001391,Male,Yes,0,Not Graduate,No,Rural,N,-2005.85863687348,2354.683153839286
LP001392,Female,No,1,Graduate,Yes,Semiurban,Y,2158.607290398124,-1470.0766608270933
LP001398,Male,No,0,Graduate,Unknown,Semiurban,Y,-236.18414595678223,-1642.6436214086627
LP001401,Male,Yes,1,Graduate,No,Rural,Y,9272.457647102849,-956.9930415272186
LP001404,Female,Yes,0,Graduate,No,Semiurban,Y,-2278.131376750114,499.3959455353661
LP001405,Male,Yes,1,Graduate,No,Urban,Y,-3165.5310929916427,-452.3036102634542
LP001421,Male,Yes,0,Graduate,No,Rural,N,126.88224006455312,531.4199898845081
LP001422,Female,No,0,Graduate,No,Urban,Y,5108.86791629094,-1256.5980012814275
LP001426,Male,Yes,Unknown,Graduate,No,Rural,Y,187.91295924601675,1062.1981965800387
LP001430,Female,No,0,Graduate,No,Semiurban,Y,-1118.435603129249,-1706.742368705251
LP001431,Female,No,0,Graduate,No,Semiurban,Y,-3787.0901172639897,7104.738656552697
LP001432,Male,Yes,2,Graduate,No,Semiurban,Y,-2323.9881347708542,-1793.3001803645727
LP001439,Male,Yes,0,Not Graduate,No,Rural,Y,-1128.44998960695,312.8144929848063
LP001443,Female,No,0,Graduate,No,Rural,Y,-1590.820411206134,-1740.401984606244
LP001448,Unknown,Yes,3+,Graduate,No,Rural,Y,18469.652686961675,-293.4177062132169
LP001449,Male,No,0,Graduate,No,Rural,Y,-1535.9244422063744,-91.9854381292098
LP001451,Male,Yes,1,Graduate,Yes,Urban,N,4936.099287516024,2590.3439535073894
LP001465,Male,Yes,0,Graduate,No,Rural,N,606.8935094224807,994.1404380829996
LP001469,Male,No,0,Graduate,Yes,Urban,Y,14844.256737146894,-552.634411021912
LP001473,Male,No,0,Graduate,No,Urban,Y,-3403.2713676597923,62.85073641842564
LP001478,Male,No,0,Graduate,No,Semiurban,Y,-2562.4465712765204,-1810.5579255400808
LP001482,Male,Yes,0,Graduate,Yes,Semiurban,Y,-1823.6182727375528,-1757.3289022282554
LP001487,Male,No,0,Graduate,No,Semiurban,Y,-390.90067177093806,-1653.9068762343547
LP001488,Male,Yes,3+,Graduate,No,Semiurban,N,-1839.3587054952327,6013.019920312422
LP001489,Female,Yes,0,Graduate,No,Rural,N,-702.2215092621091,-1676.4649633390372
LP001491,Male,Yes,2,Graduate,Yes,Urban,Y,-2217.529983079284,1723.3866189046798
LP001492,Male,No,0,Graduate,No,Semiurban,N,9687.720384405882,-926.9185063867426
LP001493,Male,Yes,2,Not Graduate,No,Rural,N,-1186.6943774466026,-277.36158354805843
LP001497,Male,Yes,2,Graduate,No,Rural,N,-393.4222682757945,434.8668370002943
LP001498,Male,No,0,Graduate,No,Urban,Y,130.23724385434252,-1615.878123534148
LP001504,Male,No,0,Graduate,Yes,Semiurban,Y,1659.361754350581,-1505.4248073961571
LP001507,Male,Yes,0,Graduate,No,Semiurban,Y,-2728.244723560989,217.09858397514063
LP001508,Male,Yes,2,Graduate,No,Urban,Y,6453.870408047195,-1159.995746360656
LP001514,Female,Yes,0,Graduate,No,Semiurban,Y,-3271.7522622695506,2636.0684474336376
LP001516,Female,Yes,2,Graduate,No,Urban,Y,9553.7542193036,-937.8504227436443
LP001518,Male,Yes,1,Graduate,No,Urban,Y,-3842.123178962455,-474.37824225241184
LP001519,Female,No,0,Graduate,No,Rural,N,4581.888045354447,375.4591908298112
LP001520,Male,Yes,0,Graduate,No,Semiurban,Y,-485.3116314275485,-828.4092453248038
LP001528,Male,No,0,Graduate,No,Rural,N,987.6039988625234,-1554.4964289855848
LP001529,Male,Yes,0,Graduate,Yes,Rural,Y,-2972.0818938879147,1920.155355020107
LP001531,Male,No,0,Graduate,No,Urban,N,3870.004417123561,-1345.942897796835
LP001532,Male,Yes,2,Not Graduate,No,Rural,N,-2997.9740804681933,-1841.607519721856
LP001535,Male,No,0,Graduate,No,Urban,Y,-2028.0024584647083,-1772.2120434494025
LP001536,Male,Yes,3+,Graduate,No,Semiurban,Y,34625.098620008124,872.2053351867303
LP001541,Male,Yes,1,Graduate,No,Rural,Y,711.6500232734224,-1574.059692863602
LP001543,Male,Yes,1,Graduate,No,Urban,Y,4240.595094712763,-1319.674979593386
LP001546,Male,No,0,Graduate,Unknown,Rural,Y,-2450.521361907968,286.21310224432136
LP001552,Male,Yes,0,Graduate,No,Semiurban,Y,-1105.3613415197487,3935.183382501956
LP001560,Male,Yes,0,Not Graduate,No,Semiurban,Y,-3489.844089081058,-833.4809303280224
LP001562,Male,Yes,0,Graduate,No,Urban,N,2640.468861003208,-1434.272903547819
LP001565,Male,Yes,1,Graduate,No,Semiurban,N,-2284.062058164154,-506.846884899011
LP001570,Male,Yes,2,Graduate,No,Rural,Y,-1220.6087231905044,-262.544569508859
LP001572,Male,Yes,0,Graduate,No,Urban,Y,4025.38593688938,-1335.750155204083
LP001574,Male,Yes,0,Graduate,No,Rural,Y,-1802.8200631195195,1419.1026812103992
LP001577,Female,Yes,0,Graduate,No,Rural,N,-702.007551586913,-1676.240759831805
LP001578,Male,Yes,0,Graduate,No,Rural,Y,-3079.913441793104,1494.1486317411436
LP001579,Male,No,0,Graduate,No,Semiurban,N,-3042.296888851301,-1845.3469288061472
LP001580,Male,Yes,2,Graduate,No,Semiurban,Y,2706.7203775528387,-1430.060195224853
LP001581,Male,Yes,0,Not Graduate,Unknown,Rural,Y,-3585.098819281079,-110.49926628474007
LP001585,Unknown,Yes,3+,Graduate,No,Urban,Y,46359.012802781726,1717.9490559782716
LP001586,Male,Yes,3+,Not Graduate,No,Rural,N,-1760.3832287149448,-1752.4436512498296
LP001594,Male,Yes,0,Graduate,No,Semiurban,Y,16.1741909908078,4015.458442159305
LP001603,Male,Yes,0,Not Graduate,Yes,Semiurban,N,-993.492544837065,-959.5367543515011
LP001606,Male,Yes,0,Graduate,No,Rural,Y,-1926.348961772202,204.63357691361625
LP001608,Male,Yes,2,Graduate,No,Rural,Y,-3349.8567023437854,-243.8947546446944
LP001610,Male,Yes,3+,Graduate,No,Semiurban,N,-581.0112671037678,9664.279726431774
LP001616,Male,Yes,1,Graduate,No,Semiurban,Y,-1532.796483945378,-1736.051120439079
LP001630,Male,No,0,Not Graduate,No,Urban,N,-3050.579392958185,-390.93538058341846
LP001633,Male,Yes,1,Graduate,No,Urban,N,589.4691883413061,5685.862692276318
LP001634,Male,No,0,Graduate,No,Rural,N,-3726.4079431077953,3181.552574852756
LP001636,Male,Yes,0,Graduate,No,Semiurban,Y,-685.2661859325826,-1675.064616868036
LP001637,Male,Yes,1,Graduate,No,Semiurban,N,28485.52308230036,427.1866318133984
LP001639,Female,Yes,0,Graduate,No,Semiurban,Y,-1657.5304084883264,-1745.095129016136
LP001640,Male,Yes,0,Graduate,Yes,Semiurban,Y,33430.044530506944,5544.456372508559
LP001641,Male,Yes,1,Graduate,Yes,Rural,N,-3101.0356453015684,-1849.2942904442668
LP001643,Male,Yes,0,Graduate,No,Rural,Y,-3050.386976441175,297.68447069767444
LP001644,Unknown,Yes,0,Graduate,Yes,Rural,Y,-4981.138119089373,3325.526749171614
LP001647,Male,Yes,0,Graduate,No,Rural,Y,4031.2363206868513,-1334.4861358897538
LP001653,Male,No,0,Not Graduate,No,Rural,Y,-401.2871279325327,-1655.057664747159
LP001656,Male,No,0,Graduate,No,Semiurban,N,6695.974690028718,-1142.990043048745
LP001657,Male,Yes,0,Not Graduate,No,Urban,N,744.5636408309747,-1571.6889859495188
LP001658,Male,No,0,Graduate,No,Semiurban,Y,-1425.3848439423705,-1728.6127339903337
LP001664,Male,No,0,Graduate,No,Rural,Y,-1092.920302112282,-1704.3378262420515
LP001665,Male,Yes,1,Graduate,No,Semiurban,N,-2341.469654056133,795.7216839729899
LP001666,Male,No,0,Graduate,No,Rural,Y,2769.1183611233646,2333.944366903018
LP001669,Female,No,0,Not Graduate,No,Urban,Y,-3540.988875021113,490.39120009828457
LP001671,Female,Yes,0,Graduate,No,Semiurban,Y,-2068.4200197326245,1048.5608220292925
LP001673,Male,No,0,Graduate,Yes,Urban,N,5697.973390810904,-1215.478235223161
LP001674,Male,Yes,1,Not Graduate,No,Semiurban,Y,-2859.738862735089,674.5825257224064
LP001677,Male,No,2,Graduate,No,Semiurban,Y,-362.4849187612954,-1651.3829031969117
LP001682,Male,Yes,3+,Not Graduate,No,Urban,N,-1291.2543808668763,-1718.3026960235834
LP001688,Male,Yes,1,Not Graduate,No,Urban,Y,-1859.866319188856,-673.6931465795183
LP001691,Male,Yes,2,Not Graduate,No,Semiurban,Y,-1366.1725006928175,-1723.9898485168258
LP001692,Female,No,0,Not Graduate,No,Semiurban,Y,-876.4883321126208,-1688.748632291868
LP001693,Female,No,0,Graduate,No,Urban,Y,-2037.747041600716,-1772.6902214405102
LP001698,Male,No,0,Not Graduate,No,Rural,Y,-1490.834527877336,804.0005975927725
LP001699,Male,No,0,Graduate,No,Urban,Y,-2800.905007782186,-1827.8156707155897
LP001702,Male,No,0,Graduate,No,Semiurban,N,-1863.843369420388,-1759.8137888375554
LP001708,Female,No,0,Graduate,No,Semiurban,N,4701.592056848144,-1286.268886557105
LP001711,Male,Yes,3+,Graduate,No,Semiurban,N,-1941.7441393048075,-512.215017792641
LP001713,Male,Yes,1,Graduate,Yes,Urban,Y,2494.583590775801,-1445.041740036591
LP001715,Male,Yes,3+,Not Graduate,Yes,Rural,Y,415.1982248891718,-1595.6362731338136
LP001716,Male,Yes,0,Graduate,No,Urban,Y,-2325.340366630689,1235.7594779108613
LP001720,Male,Yes,3+,Not Graduate,No,Semiurban,Y,-1503.8597836610547,-748.5678349179097
LP001722,Male,Yes,0,Graduate,No,Rural,N,-5252.650639954483,-199.23224183248223
LP001726,Male,Yes,0,Graduate,No,Semiurban,Y,-1683.246998557619,32.77141686989967
LP001732,Male,Yes,2,Graduate,Unknown,Semiurban,N,-286.4047642746882,-1646.603936933568
LP001734,Female,Yes,2,Graduate,No,Semiurban,Y,-1172.449150266062,679.0910419186598
LP001736,Male,Yes,0,Graduate,No,Urban,N,-3058.222011707186,-1846.34228215814
LP001743,Male,Yes,2,Graduate,No,Semiurban,Y,-1397.9295031520385,-4.938135172247485
LP001744,Male,No,0,Graduate,No,Semiurban,Y,-2510.2207438622163,991.9058500113956
LP001749,Male,Yes,0,Graduate,No,Semiurban,Y,2213.013375696558,-453.2199084269432
LP001750,Male,Yes,0,Graduate,No,Semiurban,Y,960.7510877732702,-1556.3560245790293
LP001751,Male,Yes,0,Graduate,No,Rural,N,-2031.0750264004992,-1771.538529689379
LP001754,Male,Yes,Unknown,Not Graduate,Yes,Urban,N,-550.2067593680176,-1665.1129511353297
LP001758,Male,Yes,2,Graduate,No,Semiurban,Y,839.5044654010117,134.8646744417365
LP001760,Male,Unknown,Unknown,Graduate,No,Semiurban,Y,-527.1700571863039,-1663.4785970011758
LP001761,Male,No,0,Graduate,Yes,Rural,Y,1110.908617186673,-1545.0035607561583
LP001765,Male,Yes,1,Graduate,No,Semiurban,Y,-2936.2784462864693,222.0313142663149
LP001768,Male,Yes,0,Graduate,Unknown,Rural,Y,-1567.1890652467132,-1738.8190516356606
LP001770,Male,No,0,Not Graduate,No,Rural,Y,-2279.0977749248764,814.8797994631191
LP001776,Female,No,0,Graduate,No,Semiurban,Y,3039.460007822464,-1405.4970258244157
LP001778,Male,Yes,1,Graduate,No,Semiurban,Y,-2253.968537180306,-4.259239087930155
LP001784,Male,Yes,1,Graduate,No,Rural,Y,122.43924508904364,-353.1969028404917
LP001786,Male,Yes,0,Graduate,Unknown,Urban,N,459.0408341418506,-1591.5462616707307
LP001788,Female,No,0,Graduate,Yes,Urban,Y,-1818.9993703878035,-1756.621043022565
LP001790,Female,No,1,Graduate,No,Rural,Y,-1470.9893436133602,-1731.6290940972028
LP001792,Male,Yes,1,Graduate,No,Semiurban,Y,-1966.810633205784,-1767.4614933052117
LP001798,Male,Yes,2,Graduate,No,Rural,Y,171.31016197545432,3399.5318064022777
LP001800,Male,Yes,1,Not Graduate,No,Urban,N,-2911.864201386372,153.13749197898505
LP001806,Male,No,0,Graduate,No,Urban,Y,-2725.2148434149844,3894.392536890934
LP001807,Male,Yes,2,Graduate,Yes,Rural,Y,867.1261803203579,-259.91833280511946
LP001811,Male,Yes,0,Not Graduate,No,Semiurban,Y,-2193.4318920470505,2644.732604256711
LP001813,Male,No,0,Graduate,Yes,Urban,N,449.7477305330431,2751.1394792163173
LP001814,Male,Yes,2,Graduate,No,Urban,Y,4404.590081584819,-1308.4219901316278
LP001819,Male,Yes,1,Not Graduate,No,Urban,Y,1317.9666194416895,-1530.29822796686
LP001824,Male,Yes,1,Graduate,No,Semiurban,Y,-2531.0414428781,39.64683240782915
LP001825,Male,Yes,0,Graduate,No,Urban,Y,-3603.22649030259,-12.588626050663606
LP001835,Male,Yes,0,Not Graduate,No,Semiurban,N,-3888.394247284224,1994.8791238266024
LP001836,Female,No,2,Graduate,No,Urban,N,-1854.782873467359,-1759.079152457172
LP001841,Male,No,0,Not Graduate,Yes,Rural,Y,-2852.644150912532,341.344831320052
LP001843,Male,Yes,1,Not Graduate,No,Semiurban,Y,-3128.189710405419,5269.704228879176
LP001844,Male,No,0,Graduate,Yes,Urban,N,10935.063637265044,-837.4475258677246
LP001846,Female,No,3+,Graduate,No,Rural,Y,-2196.988364517588,-1782.8551256768972
LP001849,Male,No,0,Not Graduate,No,Rural,N,756.1883695728011,-1571.1872387919705
LP001854,Male,Yes,3+,Graduate,No,Urban,N,-36.891068204035946,-1628.46787515202
LP001859,Male,Yes,0,Graduate,No,Rural,N,9222.027963193084,1145.3808290135385
LP001864,Male,Yes,3+,Not Graduate,No,Semiurban,N,-354.79623217858807,-1651.1124615388992
LP001865,Male,Yes,1,Graduate,No,Urban,Y,490.14998531256606,2672.141774286749
LP001868,Male,No,0,Graduate,No,Semiurban,Y,-3377.0657469334537,345.9030207244855
LP001870,Female,No,1,Graduate,No,Semiurban,N,-1800.6433429628833,-1754.5828146218266
LP001871,Female,No,0,Graduate,No,Rural,Y,1908.20318972634,-1488.17245943974
LP001872,Male,No,0,Graduate,Yes,Semiurban,Y,-120.4113798748076,-1634.2301547264888
LP001875,Male,No,0,Graduate,No,Rural,Y,-1436.2769426597156,1726.9928314519148
LP001877,Male,Yes,2,Graduate,No,Semiurban,Y,-676.771906456017,-283.5863792821044
LP001882,Male,Yes,3+,Graduate,No,Urban,Y,-1081.2001518247043,112.44421258064403
LP001883,Female,No,0,Graduate,Unknown,Rural,N,-1863.7822386560465,-1759.749730692632
LP001884,Female,No,1,Graduate,No,Urban,Y,-2516.873829679976,-243.1297182680937
LP001888,Female,No,0,Graduate,No,Urban,Y,-2045.110785329453,-1773.593462070481
LP001891,Male,Yes,0,Graduate,No,Urban,Y,5843.99620525808,-1204.5652679083114
LP001892,Male,No,0,Graduate,No,Rural,Y,-2580.840957624119,50.29217707345197
LP001894,Male,Yes,0,Graduate,No,Semiurban,Y,-2819.41599168245,400.2246762732948
LP001896,Male,Yes,2,Graduate,No,Semiurban,Y,-1383.3878063951602,-1725.4833688915205
LP001900,Male,Yes,1,Graduate,No,Semiurban,Y,-2662.6292234878288,29.280665762596755
LP001903,Male,Yes,0,Graduate,No,Semiurban,Y,-1525.1430501605323,1547.5663482794766
LP001904,Male,Yes,0,Graduate,No,Urban,Y,-2271.8500335250424,-486.2217683917379
LP001907,Male,Yes,0,Graduate,No,Semiurban,Y,9274.291746657464,-955.2503703917462
LP001908,Female,Yes,0,Not Graduate,No,Rural,Y,-1183.6515306009378,-1710.8432010841827
LP001910,Male,No,1,Not Graduate,Yes,Urban,N,-1404.7019768363034,705.7036243370303
LP001914,Male,Yes,0,Graduate,No,Semiurban,Y,-1413.811653670616,-925.461178385044
LP001915,Male,Yes,2,Graduate,No,Urban,Y,-3049.090599194852,-856.9637273134142
LP001917,Female,No,0,Graduate,No,Urban,Y,-3586.9826907574416,-214.20456472784053
LP001922,Male,Yes,0,Graduate,No,Rural,N,15340.012431022657,-520.6444615385103
LP001924,Male,No,0,Graduate,No,Rural,Y,-2342.9687376835145,1266.213789442048
LP001925,Female,No,0,Graduate,Yes,Semiurban,N,-2803.3431781065174,-106.207208947382
LP001926,Male,Yes,0,Graduate,No,Rural,Y,-1722.44870750767,255.4421901608476
LP001931,Female,No,0,Graduate,No,Semiurban,Y,-1159.7831263053286,-1709.191116014252
LP001935,Male,No,0,Graduate,No,Rural,Y,4210.673624205897,-1321.8301676970982
LP001936,Male,Yes,0,Graduate,No,Rural,Y,-2379.568086009766,625.318525564136
LP001938,Male,Yes,2,Graduate,No,Semiurban,N,-884.4139004071512,-1689.267299261459
LP001940,Male,Yes,2,Graduate,No,Urban,Y,-2240.2626994627044,-222.87782831340743
LP001945,Female,No,Unknown,Graduate,No,Urban,N,129.99029251987122,-1616.256408363443
LP001947,Male,Yes,0,Graduate,No,Semiurban,Y,-3135.510177148,1491.4673094281547
LP001949,Male,Yes,3+,Graduate,Unknown,Urban,Y,-958.462687287426,-441.5252985913096
